route_id,service_id,trip_id,trip_headsign,direction_id
metro_route_purple,metro_daily_service,metro_trip_00001,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00002,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00003,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00004,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00005,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00006,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00007,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00008,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00009,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00010,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00011,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00012,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00013,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00014,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00015,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00016,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00017,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00018,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00019,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00020,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00021,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00022,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00023,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00024,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00025,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00026,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00027,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00028,Whitefield (Kadugodi),0
metro_route_purple,metro_daily_service,metro_trip_00029,Whitefield (Kadugodi),0
