num_transfers,total_scheduled_time,total_actual_time,min_buffer,pct_bus,hour,day_of_week,missed_connection,deadline_slack,reached_on_time
6,3767.7914482250303,6592.234607829521,39.91523358996693,0.7931034482758621,18,1,False,1.2100489907129568,0
0,7610.0,9346.531964314736,999.0,1.0,8,1,False,1.3708102646368046,1
4,3446.314700439242,6534.554777122232,88.0,0.7741935483870968,15,3,False,1.237762314630415,0
7,2917.8184864899745,3019.063164051179,22.0,0.5,18,2,False,1.3066975376327856,1
2,4528.460148592873,5953.687302012994,103.73356631744096,0.9459459459459459,21,5,False,1.2941506115351147,0
4,8791.756715809779,9659.960124083444,137.0,0.5,16,0,False,1.152533711135654,1
0,6056.0,7778.465495220456,999.0,1.0,10,1,False,1.122087843034097,0
6,6680.040089977458,8992.469954076812,12.0,0.8653846153846154,7,1,False,1.3215175317053731,0
2,4899.460148592873,7818.631198755626,44.0,0.95,17,3,False,1.3989443022566106,0
3,2265.110780867466,4276.860105352396,130.3066975386671,0.5625,13,2,False,1.011857729267863,0
5,1063.5643139703852,1091.6241712902674,-6.0598573198821555,0.125,11,3,False,1.3675405255056057,1
0,3427.0,5493.38124226215,999.0,1.0,12,5,False,1.2366556047692145,0
6,7837.35928505618,8759.072909592833,10.0,0.75,10,0,False,1.282935736704237,1
4,2747.352500179357,4092.713173933177,-798.4410420179463,0.16,17,4,True,1.1276160211489448,0
0,4649.0,9061.505221150066,999.0,1.0,18,0,False,1.2221639382982017,0
7,4264.631400881894,5209.617433999433,10.0,0.6551724137931034,21,6,False,1.1104894627853907,0
0,5998.0,10273.693411890075,999.0,1.0,17,0,False,1.1823862412262915,0
4,7172.663779049888,8793.547480261492,49.76869632914,0.631578947368421,22,3,False,1.3661725782355139,1
2,2703.6216649961802,5945.127013557911,64.89508272074761,0.9310344827586207,19,2,False,1.255648132512299,0
8,5077.757592705396,9788.057916843707,-86.80661052846278,0.8157894736842105,16,5,False,1.2281487176118888,0
0,1441.0,2760.1562475101987,999.0,1.0,21,5,False,1.0315828832521428,0
0,8028.0,13968.989918140716,999.0,1.0,21,3,False,1.343562993622003,0
4,4927.446568958572,8205.411436383582,25.0,0.9142857142857143,6,2,False,1.034493646437961,0
6,7258.093573347756,10968.394147407038,11.0,0.8333333333333334,11,3,True,1.0275965453806966,0
2,5759.327254015479,9465.266371349298,23.681017179776383,0.9333333333333333,22,2,False,1.3904118740177434,0
8,9116.686760459132,13065.826176936669,-69.07147072781586,0.6571428571428571,11,5,False,1.2797526219422832,0
4,1139.985340112803,1444.6574400508614,55.36017572347747,0.5833333333333334,16,0,False,1.3937378418102768,1
4,4551.89440437923,7629.058523499112,22.719155117406657,0.7,7,4,False,1.289183010389892,0
8,5018.312176969591,6186.841579941317,39.91523358996693,0.7647058823529411,6,0,False,1.3933543107710635,1
6,3226.81540180001,4959.360929892597,-107.43118622277832,0.5172413793103449,22,1,False,1.0170600104297198,0
0,2938.0,7165.296562559008,999.0,1.0,19,1,False,1.1196914340996609,0
0,4513.0,6132.247128207049,999.0,1.0,18,5,False,1.1032923410711575,0
10,6017.66148576191,7327.225095596811,-185.14635811615852,0.75,14,0,False,1.2465875038147658,1
8,5548.406146605832,7833.236875011132,-328.87690623510264,0.7837837837837838,19,1,True,1.2028727167379067,0
4,6806.745341807638,7966.270690342172,49.85025908689087,0.675,16,3,False,1.2570264925460597,1
0,3595.0,3736.6001038970408,999.0,1.0,19,4,False,1.303576580399507,1
8,6581.217704428788,8627.392325657647,12.0,0.56,20,2,False,1.2254264451806578,0
4,4275.299907908174,6143.08583280053,-34.12033794141996,0.7727272727272727,12,2,False,1.3094033461117416,0
0,9469.0,11822.391008275092,999.0,1.0,18,5,False,1.4728593886670274,1
4,1716.5065127531204,2654.9220350162545,31.77294643567951,0.696969696969697,15,4,False,1.13577274986096,0
0,5952.0,8468.586050217997,999.0,1.0,11,3,False,1.1316672165913089,0
6,2175.7447421196543,2595.692784591288,22.0,0.5,9,0,False,1.233016807554974,1
8,3774.7683232168815,4402.477755416949,-95.73621366535107,0.39473684210526316,22,3,False,1.2647637540663461,1
0,6340.0,12273.56642802049,999.0,1.0,6,6,False,1.4862674499854616,0
0,1227.0,1650.3771569786436,999.0,1.0,11,2,False,1.1448187644611543,0
0,5239.0,8346.283024655255,999.0,1.0,9,1,False,1.0278670092441036,0
0,2388.0,4015.724378150352,999.0,1.0,14,6,False,1.1690217849427893,0
4,5130.634388707374,7741.953238830059,22.719155117406657,0.5882352941176471,17,0,False,1.346913245938111,0
0,5329.0,7952.461605299314,999.0,1.0,10,4,False,1.3847048183813555,0
4,5033.132615350845,8121.271813922177,-352.2760023578481,0.5813953488372093,6,0,True,1.239701347454067,0
0,11032.0,17553.16597048034,999.0,1.0,9,1,False,1.2883453431992071,0
2,1280.4601485928733,4299.249264785831,86.12153429631337,0.875,10,6,True,1.4384779959773335,0
0,1353.0,3649.9756596988072,999.0,1.0,13,5,False,1.2993939168632298,0
5,2180.2017276614733,3004.1250349662764,22.0,0.631578947368421,9,1,False,1.1221206244177728,0
0,1313.0,4904.697352587317,999.0,1.0,8,3,False,1.463964550068763,0
10,5362.352264324794,7002.023767529118,7.272407845698943,0.6206896551724138,12,1,False,1.0071399757112904,0
4,6035.859256934263,8233.680389178902,31.77294643567951,0.7777777777777778,22,4,False,1.2793966744292553,0
0,4923.0,7331.129057412367,999.0,1.0,14,1,False,1.4441539134869688,0
0,2294.0,4230.510352876312,999.0,1.0,6,3,False,1.0924926688590408,0
4,4790.941222296264,6216.329577929909,44.0,0.8974358974358975,16,3,False,1.434952794346763,1
0,3348.0,4692.822382949369,999.0,1.0,10,0,False,1.384804049834788,0
0,1054.0,4603.031166806325,999.0,1.0,20,2,False,1.1506343012537885,0
8,6294.586608044273,9983.706022655628,12.0,0.8409090909090909,9,1,False,1.079806717547368,0
8,8480.84255842566,11045.257904371625,-14.262213310431612,0.8596491228070176,17,3,False,1.4312400948933477,1
6,3904.901188406955,5566.6502180740235,3.0,0.7419354838709677,9,4,False,1.3360287198301455,0
4,3681.886331266549,4792.780261769555,59.0,0.782608695652174,16,5,False,1.4545787691193448,1
